,Title,Artist,track_id,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature,explicit,Popularity,Release_Year,billboard_hot_100
38,the red,chevelle,1gyee1JuFFiP476LQpRMYU,0.509,0.843,1.0,-3.318,0.0,0.0488,0.000671,0.0008029999999999999,0.348,0.332,140.055,238400.0,3.0,0.0,71.0,2002.0,0
39,remedy,seether,5ynxx6zC4dgzsMHLYQ04Dc,0.55,0.952,8.0,-4.664,1.0,0.0924,0.000193,0.000666,0.0614,0.391,127.804,207213.0,4.0,0.0,71.0,2005.0,0
40,plug in baby,muse,429MqIq5nGH32feyRZHunv,0.408,0.965,2.0,-4.232,1.0,0.05,6.94e-06,0.000402,0.11,0.349,136.018,218000.0,4.0,0.0,54.0,2001.0,0
41,change (in the house of flies) - in the house of flies lp version,deftones,51c94ac31swyDQj9B3Lzs3,0.269,0.853,7.0,-4.647,0.0,0.0854,0.000249,0.000246,0.118,0.179,141.58100000000005,299533.0,4.0,0.0,76.0,2000.0,0
42,judith,a perfect circle,5KDNFlHAdDJ84fhK27c35X,0.365,0.894,11.0,-4.682,0.0,0.0568,3.45e-05,0.171,0.267,0.31,82.305,247267.0,3.0,1.0,68.0,2000.0,0
43,mia (feat. drake),bad bunny,116H0KvKr2Zl4RPuVBruDO,0.8170000000000001,0.539,6.0,-6.349,0.0,0.0621,0.0141,0.000496,0.099,0.158,97.062,210368.0,4.0,0.0,80.0,2018.0,0
44,"taki taki (with selena gomez, ozuna & cardi b)",dj snake,4w8niZpiMy6qz1mntFA5uM,0.8420000000000001,0.8009999999999999,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500.0,4.0,1.0,79.0,2018.0,0
45,white boi,dillon francis,2X7pHBr2TJl0yZ97B2vz40,0.83,0.4970000000000001,1.0,-6.94,1.0,0.052,0.0983,0.0,0.0906,0.634,127.965,185282.0,4.0,0.0,36.0,2018.0,0
46,just wanna love you (feat. j. balvin),cris cab,3d0j5Tkx2Yum7FhMvJZe85,0.687,0.7659999999999999,11.0,-6.08,1.0,0.054,0.0557,0.00107,0.146,0.303,94.973,199231.0,4.0,0.0,45.0,2018.0,0
47,beautiful (feat. camila cabello),bazzi,4VUwkH455At9kENOfzTqmF,0.638,0.7170000000000001,2.0,-4.722,1.0,0.0337,0.346,0.0,0.105,0.249,100.027,180000.0,4.0,0.0,76.0,2018.0,0
48,celoso,lele pons,33zcmmElV1YbRZe57biUjg,0.746,0.703,4.0,-4.1789999999999985,0.0,0.107,0.352,0.0,0.331,0.667,166.043,179693.0,4.0,0.0,68.0,2018.0,0
49,good vibes,fuego,4TwIbmabI2R5XUhqptk6Ev,0.823,0.63,7.0,-3.932,1.0,0.0797,0.0348,6.72e-06,0.0964,0.184,100.04,235720.0,4.0,0.0,54.0,2018.0,0
50,real friends,camila cabello,5vnpANH92iEajvGwE2oQ6r,0.701,0.512,0.0,-6.869,0.0,0.0969,0.235,5.07e-06,0.135,0.6629999999999999,91.947,223583.0,4.0,0.0,60.0,2018.0,0
51,pa mí,dalex,7g8YaUQABMal0zWe7a2ijz,0.688,0.62,11.0,-8.029,0.0,0.22,0.753,5.27e-06,0.158,0.727,170.018,360960.0,4.0,1.0,77.0,2019.0,0
52,wake up in the sky,gucci mane,0QIjsbm2fh1cJ45XO9eGqq,0.8,0.578,4.0,-5.144,0.0,0.0485,0.00381,0.0,0.359,0.3670000000000001,143.01,204665.0,4.0,1.0,79.0,2018.0,0
53,está rico,marc anthony,2wRkBumdItthjYP9XknImg,0.8170000000000001,0.74,11.0,-4.566,0.0,0.283,0.266,0.0,0.0992,0.674,130.04,215151.0,4.0,1.0,67.0,2018.0,0
54,banana clip - spanish version,miguel,3sZB7cAJkbVkeWz1dMJ2Sy,0.398,0.66,1.0,-5.626,0.0,0.12,0.107,0.0,0.121,0.7190000000000001,83.82799999999997,202373.0,4.0,0.0,32.0,2018.0,0
55,come with me,kap g,0k9Dqeik4DvPIbaOHglvFS,0.659,0.7340000000000001,10.0,-4.008,1.0,0.046,0.0526,2.48e-06,0.242,0.34600000000000003,161.971,157461.0,4.0,1.0,21.0,2018.0,0
